hotel_name,locality,price,rating,score,review,link
Rembrandt Hotel Bangkok,"Khlong Toei, Bangkok","THB1,945 ",Good ,7.9,"3,243 reviews",https://www.booking.com/hotel/th/rembrandt-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=2750886_0_2_0_0&highlighted_blocks=2750886_0_2_0_0&matching_block_id=2750886_0_2_0_0&sr_pri_blocks=2750886_0_2_0_0__194535&from=searchresults
The Quarter Ploenchit by UHG,"Pathumwan, Bangkok","THB2,064 ",Very good ,8.3,"3,039 reviews",https://www.booking.com/hotel/th/the-quarter-ploenchit-by-uhg.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=639531507_368562421_2_2_0_240723&highlighted_blocks=639531507_368562421_2_2_0_240723&matching_block_id=639531507_368562421_2_2_0_240723&sr_pri_blocks=639531507_368562421_2_2_0_240723_206400&from=searchresults
Grand Mercure Bangkok Atrium,"Huai Khwang, Bangkok","THB1,890 ",Very good ,8.1,"1,518 reviews",https://www.booking.com/hotel/th/grand-mercure-bangkok-atrium.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=2739160_95888999_2_2_0&highlighted_blocks=2739160_95888999_2_2_0&matching_block_id=2739160_95888999_2_2_0&sr_pri_blocks=2739160_95888999_2_2_0__189000&from_sustainable_property_sr=1&from=searchresults
Maison Hotel Bangkok,"Khlong Toei, Bangkok","THB2,644 ",Fabulous ,8.7,"2,855 reviews",https://www.booking.com/hotel/th/maisonbangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=161694002_0_2_0_0&highlighted_blocks=161694002_0_2_0_0&matching_block_id=161694002_0_2_0_0&sr_pri_blocks=161694002_0_2_0_0__264448&from=searchresults
ASAI Bangkok Chinatown,"Pom Prap Sattru Phai, Bangkok","THB1,798 ",Fabulous ,8.8,"2,546 reviews",https://www.booking.com/hotel/th/asai-bangkok-chinatown-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=603067704_0_2_0_0&highlighted_blocks=603067704_0_2_0_0&matching_block_id=603067704_0_2_0_0&sr_pri_blocks=603067704_0_2_0_0__179818&from=searchresults
Radisson Suites Bangkok Sukhumvit,"Wattana, Bangkok","THB3,178 ",Very good ,8.1,"2,441 reviews",https://www.booking.com/hotel/th/radisson-suites-bangkok-sukhumvit.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=29018212_94396708_2_2_0&highlighted_blocks=29018212_94396708_2_2_0&matching_block_id=29018212_94396708_2_2_0&sr_pri_blocks=29018212_94396708_2_2_0__317790&from=searchresults
Emiri Hotel - Nana Bangkok,"Wattana, Bangkok","THB1,174 ",Fabulous ,8.7,712 reviews,https://www.booking.com/hotel/th/emiri-nana-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1288768209_0_2_0_0&highlighted_blocks=1288768209_0_2_0_0&matching_block_id=1288768209_0_2_0_0&sr_pri_blocks=1288768209_0_2_0_0__117442&from=searchresults
"Journeyhub Sukhumvit 26, Bangkok - Formerly St James Hotel","Khlong Toei, Bangkok","THB1,747 ",Very good ,8.1,118 reviews,https://www.booking.com/hotel/th/journeyhub-sukhumvit-26-bamgkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1321632903_405155945_2_2_0&highlighted_blocks=1321632903_405155945_2_2_0&matching_block_id=1321632903_405155945_2_2_0&sr_pri_blocks=1321632903_405155945_2_2_0__174720&from=searchresults
Novotel Bangkok Sukhumvit 20,"Khlong Toei, Bangkok","THB2,895 ",Very good ,8.4,"2,233 reviews",https://www.booking.com/hotel/th/novotel-bangkok-sukhumvit-20.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=166808107_94610935_2_10_0&highlighted_blocks=166808107_94610935_2_10_0&matching_block_id=166808107_94610935_2_10_0&sr_pri_blocks=166808107_94610935_2_10_0__289500&from_sustainable_property_sr=1&from=searchresults
SAMALA Hotel Bangkok,"Wattana, Bangkok","THB2,302 ",Fabulous ,8.8,"3,915 reviews",https://www.booking.com/hotel/th/samala-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1079818902_0_2_0_0&highlighted_blocks=1079818902_0_2_0_0&matching_block_id=1079818902_0_2_0_0&sr_pri_blocks=1079818902_0_2_0_0__230174&from=searchresults
lyf Sukhumvit 8 Bangkok,"Khlong Toei, Bangkok","THB1,483 ",Very good ,8.1,"2,032 reviews",https://www.booking.com/hotel/th/lyf-sukhumvit-8-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=617071502_241027527_2_2_0_879481&highlighted_blocks=617071502_241027527_2_2_0_879481&matching_block_id=617071502_241027527_2_2_0_879481&sr_pri_blocks=617071502_241027527_2_2_0_879481_148320&from_sustainable_property_sr=1&from=searchresults
Novotel Bangkok Sukhumvit 4,"Khlong Toei, Bangkok","THB2,944 ",Very good ,8.4,"3,907 reviews",https://www.booking.com/hotel/th/novotel-bangkok-sukhumvit-4.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=380853704_120889473_2_2_0&highlighted_blocks=380853704_120889473_2_2_0&matching_block_id=380853704_120889473_2_2_0&sr_pri_blocks=380853704_120889473_2_2_0__294400&from_sustainable_property_sr=1&from=searchresults
iCheck inn Thapra,"Thonburi, Bangkok",THB764 ,Fabulous ,8.6,88 reviews,https://www.booking.com/hotel/th/icheck-inn-thapra.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=1331126901_0_2_0_0&highlighted_blocks=1331126901_0_2_0_0&matching_block_id=1331126901_0_2_0_0&sr_pri_blocks=1331126901_0_2_0_0__76378&from=searchresults
"Bandara Suites Silom, Bangkok","Bang Rak, Bangkok","THB2,130 ",Very good ,8.3,"3,357 reviews",https://www.booking.com/hotel/th/bandara-suites-silom-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=2753687_0_2_0_0&highlighted_blocks=2753687_0_2_0_0&matching_block_id=2753687_0_2_0_0&sr_pri_blocks=2753687_0_2_0_0__212988&from=searchresults
Madison Bangkok Hotel,"Bangkapi, Bangkok",THB942 ,Good ,7.1,380 reviews,https://www.booking.com/hotel/th/madison-bangkok.en-gb.html?label=bangkok-3it2SaMYLYoRmShHjrkKxAS453829065535%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-298538156831%3Alp9074847%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YfpWGnRw6lOGgfEoJVv7zYo&aid=1610687&ucfs=1&arphpl=1&checkin=2025-05-28&checkout=2025-05-29&dest_id=-3414440&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=44c2716192950365&srepoch=1748102853&all_sr_blocks=555912701_206633980_2_2_0&highlighted_blocks=555912701_206633980_2_2_0&matching_block_id=555912701_206633980_2_2_0&sr_pri_blocks=555912701_206633980_2_2_0__94185&from=searchresults
